input,output,model,score
"widespread blackouts are reported in western ukraine as russian forces launch another wave of cruise missile strikes, including the city of lviv which has experienced a total blackout.",widespread blackouts are reported in western ukraine as russian forces launch another wave of cruise missile attacks. the city of lviv has experienced a total blackout.,Muss,82.33333333333333
"described as a darkly comedic bio-pic, emilia jones was confirmed to be portraying the whistle-blower reality winner from a script written by kerry howley based on her own 2017 new york magazine feature, ""who is reality winner?"" with fogel also on board to direct.","in the new york magazine movie, “who is reality winner?”, emilia jones portrays the whistle-blower known as reality winner. the script was written by kerry howley with fogel directing.",Human 2 Writing,81.0
"however, upon flynn's apparent success in securing sufficient backing to become council president, arroyo released a statement that acted as an informal concession of sorts, giving strong praise to flynn's kindness and work ethic, and declaring that he looked forward, ""to seeing how he utilizes those great qualities in this leadership role.""",flynn had enough support to become council president. arroyo released a statement praising flynn's kindness and work ethic. he also said he was excited to see how flynn used those qualities as a leader.,GPT-3-few-shot,78.33333333333333
"described as a darkly comedic bio-pic, emilia jones was confirmed to be portraying the whistle-blower reality winner from a script written by kerry howley based on her own 2017 new york magazine feature, ""who is reality winner?"" with fogel also on board to direct.","described as a darkly comedic bio-pic, emilia jones was confirmed to be portraying the whistle-blower reality winner with fogel also on board to direct from a script written by kerry howley based on her own 2017 new york magazine feature.",Muss,68.33333333333333
"on november 2, 2022, poland's minister of national defence mariusz blaszczak announces the construction of a barrier along the border with the russian exclave of kaliningrad, as poland believes that russia will use the border to illegally transport african and asian immigrants to europe.","on november 2, 2022, poland's minister of national defence mariusz blaszczak said that they would build a wall along the border with russia's kaliningrad because they thought that people from russia were trying to enter europe through that area.",Muss,79.33333333333333
"the complainant claimed that he had not renounced his nepali citizenship while being an american citizen, and nepali law does not allow the provision of dual citizenship.",the man claimed that he had not given up his nepali citizenship while being an american citizen. nepali law does not allow people to have more than one nationality.,Muss,85.0
"the creative gene is an autobiographical book comprising a variety of short stories, essays, and anecdotes encompassing kojima's life, many of which focus on the various pop culture media kojima developed an adoration for and how they have impacted him.","the creative gene is an autobiographical book comprising a variety of short stories, essays, and anecdotes spanning kojima's life, many of which focus on the various pop culture media which kojima developed an adoration for and how they have impacted him.",T5-3B,50.0
"the activists called out to the russian delegation, stating that the russians were war criminals who didn't have the right to be present at the conference and didn't deserve respect.","the activists called out to the russian delegation. they said that the russians were war criminals, and that they should not be allowed to be at the meeting.",Muss,84.33333333333333
"repeatedly besieged during the war of restoration of independence, it was during the siege of the city of elvas, led by the spanish commander don luis de haro in 1658, that the fort stood out for its defenders' heroic resistance.","it was often attacked during the war of restoration of independence. in 1658, the spanish commander don luis de haro attacked the city of elvas, and the defenders of the fort gave their lives to save the city.",Muss,85.0
"the complainant claimed that he had not renounced his nepali citizenship while being an american citizen, and nepali law does not allow the provision of dual citizenship.",the complainant said he was still a nepali citizen even though he had become an american one. nepali law does not allow people to have two citizenships at the same time.,GPT-3-few-shot,79.0
"according to the non-profit organization iran human rights, as of 19 november 2022, at least 378 people including 43 minors under 18 years of age had been killed as a result of the government's intervention in the protests, involving tear gas and gunfire, making the protests the deadliest since the 2019–2020 protests that resulted in more than 1,500 fatalities.","according to the non-profit organization iran human rights, as of 19 november 2022, at least 378 people including 43 minors under 18 years of age have been killed as a result of the government's intervention in the protests, involving tear gas and gunfire, making the protests the deadliest since the 2019-2020 protests that resulted in more than 1,500 deaths.",T5-3B,51.66666666666666
"according to anonymous sources cited by the wall street journal, ftx had lent $10 billion of its customer assets to alameda research in 2022, and alameda ceo caroline ellison disclosed to other alameda employees that she, sam bankman-fried, gary wang, and nishad singh knew about that decision.","anonymous sources reported to the wall street journal that ftx lent $10 billion of its customer assets to alameda research in 2022. caroline ellison, alameda's ceo, told other alameda employees that she, sam bankman-fried, gary wang, and nishad singh were aware of this decision.",GPT-3-few-shot,76.33333333333333
"in marriages and infidelities, oates explicitly alludes to novellas and short stories by earlier writers, making use of either their titles or their themes and adapting them in accordance with her artistic intentions.","in "" marriages and infidelities "" oates uses short stories and novellas as inspiration for her work.",T5-3B,68.33333333333333
the supreme court of the united kingdom unanimously denies the scottish government the right to hold a second referendum on scottish independence from the united kingdom without approval from the british government.,the supreme court of the united kingdom ruled that the scottish government could not hold another referendum on scottish independence from the united kingdom without approval from the british government.,T5-3B,73.33333333333333
"bone has published numerous books including fantastic fungi community cookbook (2021), which includes recipes by wild mushroom foragers, mycologists, and chefs specializing in mushroom-based dishes.","bone has published numerous books. fantastic fungi community cookbook (2021) has recipes by wild mushroom foragers, mycologists, and chefs who make mushroom-based dishes.",Human 2 Writing,82.0
"musk also announced the creation of a ""content moderation council"" with diversified viewpoints to determine how the platform would handle free speech, and declared a moratorium on ""major content decisions or account reinstatements"" until then.",musk said that he would create a “content moderation council” with many different perspectives to handle free speech on the platform. he also declared that no “major content decisions or account reinstatements” would be made until the council was created.,Human 2 Writing,78.0
"widespread blackouts are reported in western ukraine as russian forces launch another wave of cruise missile strikes, including the city of lviv which has experienced a total blackout.","as russian forces launch another wave of cruise missile strikes, widespread blackouts are reported in western ukraine.",Human 1 Writing,80.0
"widespread blackouts are reported in western ukraine as russian forces launch another wave of cruise missile strikes, including the city of lviv which has experienced a total blackout.","after another wave of missile strikes, blackouts have been reported in western ukraine including the city of lviv which experienced a total blackout.",Human 2 Writing,77.66666666666667
